provider,horizon,fold,rmse_lstm,mae_lstm,rmse_naive,mae_naive,acc_lstm,f1_lstm,acc_naive,f1_naive
gemini,3d,4,0.046983603616470936,0.03532248054223315,0.04003698751348285,0.028450583552458376,0.5666666666666667,0.6285714285714286,0.5666666666666667,0.0
gemini,3d,5,0.055799817185771663,0.04422817617379833,0.04039553105408562,0.029387208156245157,0.36666666666666664,0.32142857142857145,0.31666666666666665,0.0
gemini,3d,6,0.046900381731868425,0.03765331689541339,0.02763369320007658,0.02065379809414969,0.43333333333333335,0.34615384615384615,0.4666666666666667,0.0
gemini,3d,7,0.02348248868063761,0.019470240020752896,0.02299674340728317,0.01912472080785367,0.6166666666666667,0.46511627906976744,0.45,0.0
gemini,3d,8,0.051828771088079297,0.04272066742943411,0.04036444511718945,0.03405465938617488,0.4666666666666667,0.4482758620689655,0.5833333333333334,0.0
gemini,3d,9,0.03759054414067869,0.031231971640918184,0.03297297296882167,0.026079022510296448,0.5,0.53125,0.4666666666666667,0.0
gemini,7d,1,0.10052101194318326,0.08152744913647879,0.07265768240196784,0.05929359063016463,0.5,0.5833333333333334,0.48333333333333334,0.0
gemini,7d,2,0.10834007072332127,0.07900181290449987,0.09324083731893384,0.06752109517239109,0.38333333333333336,0.3728813559322034,0.2833333333333333,0.0
gemini,7d,3,0.08126784739544811,0.065372814198889,0.049957301202261536,0.040283958089603014,0.38333333333333336,0.17777777777777778,0.4166666666666667,0.0
gemini,7d,4,0.05619072686470204,0.047646803868475356,0.054082881268763025,0.03966137020837991,0.5166666666666667,0.5671641791044776,0.6166666666666667,0.0
gemini,7d,5,0.07142600122339023,0.05794139556671731,0.05802074363680722,0.04573115956637592,0.5333333333333333,0.5882352941176471,0.25,0.0
gemini,7d,6,0.061627429783162595,0.05225753646278515,0.03891648277247503,0.03001503706256682,0.3,0.125,0.4,0.0
gemini,7d,7,0.03598676224613138,0.03009897715887505,0.033580091675743905,0.02722292160425135,0.5833333333333334,0.32432432432432434,0.5166666666666667,0.0
gemini,7d,8,0.08880114990347115,0.07821151082326001,0.06893257921536863,0.05966587902030831,0.3333333333333333,0.23076923076923078,0.6833333333333333,0.0
gemini,7d,9,0.039391173086173036,0.032114934897192464,0.03960844187763132,0.03191876104718154,0.5833333333333334,0.5283018867924528,0.43333333333333335,0.0
