Fold,Train_End_Index,Test_Start_Index,Test_End_Index,n,rmse,mae,f1,accuracy,naive_n,naive_rmse,naive_mae,naive_f1,naive_accuracy,Horizon,Feature_Set,Feature_Count
2,952,952,1012,60,0.05767765222762056,0.04648863341337797,0.5846153846153846,0.55,60,0.027442079901143508,0.01907056521362552,0.0,0.45,1,market_plus_llm_news,158
3,1012,1012,1072,60,0.09086987722092947,0.07268070276747099,0.6415094339622641,0.6833333333333333,60,0.023731974328507113,0.018010539938849632,0.0,0.4666666666666667,1,market_plus_llm_news,158
4,1072,1072,1132,60,0.08160577500887697,0.06179410817749907,0.576271186440678,0.5833333333333334,60,0.0291492238087015,0.02096095236011868,0.0,0.5833333333333334,1,market_plus_llm_news,158
5,1132,1132,1192,60,0.060388758518336534,0.04985248604822483,0.5901639344262295,0.5833333333333334,60,0.024190348486159426,0.01619110889006144,0.0,0.45,1,market_plus_llm_news,158
6,1192,1192,1252,60,0.06771458319940267,0.05641083338657378,0.2692307692307692,0.36666666666666664,60,0.01655562621345276,0.012328461132757632,0.0,0.43333333333333335,1,market_plus_llm_news,158
7,1252,1252,1312,60,0.053452326110806095,0.04197241295326968,0.5964912280701754,0.6166666666666667,60,0.014985876609964132,0.011370874831544763,0.0,0.55,1,market_plus_llm_news,158
8,1312,1312,1372,60,0.05256748371239475,0.042128518442513856,0.41509433962264153,0.48333333333333334,60,0.021961504390777053,0.01748800740596934,0.0,0.5,1,market_plus_llm_news,158
9,1372,1372,1432,60,0.042350962168317144,0.03377655426801415,0.5507246376811594,0.48333333333333334,60,0.019436333845648354,0.01428129986038086,0.0,0.5,1,market_plus_llm_news,158
10,1432,1432,1487,55,0.06289826066380255,0.04848807535516536,0.49122807017543857,0.4727272727272727,55,0.03649029076829718,0.024689085517175347,0.0,0.6181818181818182,1,market_plus_llm_news,158
1,892,892,952,60,0.04522776193858955,0.037073085198368695,0.4482758620689655,0.4666666666666667,60,0.030248710614972075,0.02204591599737176,0.0,0.48333333333333334,1,external_only_trends_llm,113
2,952,952,1012,60,0.03812110805780254,0.029951668087423996,0.5797101449275363,0.5166666666666667,60,0.027442079901143508,0.01907056521362552,0.0,0.45,1,external_only_trends_llm,113
3,1012,1012,1072,60,0.039342256935271054,0.03318155941746023,0.5357142857142857,0.5666666666666667,60,0.023731974328507113,0.018010539938849632,0.0,0.4666666666666667,1,external_only_trends_llm,113
4,1072,1072,1132,60,0.03615145440445567,0.030060884536784477,0.47761194029850745,0.4166666666666667,60,0.0291492238087015,0.02096095236011868,0.0,0.5833333333333334,1,external_only_trends_llm,113
5,1132,1132,1192,60,0.02838860588551819,0.022473942588015428,0.5245901639344263,0.5166666666666667,60,0.024190348486159426,0.01619110889006144,0.0,0.45,1,external_only_trends_llm,113
6,1192,1192,1252,60,0.0223630453879948,0.01693509127623071,0.46875,0.43333333333333335,60,0.01655562621345276,0.012328461132757632,0.0,0.43333333333333335,1,external_only_trends_llm,113
7,1252,1252,1312,60,0.020639174100578545,0.01658547329066868,0.4827586206896552,0.5,60,0.014985876609964132,0.011370874831544763,0.0,0.55,1,external_only_trends_llm,113
8,1312,1312,1372,60,0.025546434589445034,0.01940014948170597,0.5079365079365079,0.48333333333333334,60,0.021961504390777053,0.01748800740596934,0.0,0.5,1,external_only_trends_llm,113
9,1372,1372,1432,60,0.026659128546822182,0.019921091595707183,0.43333333333333335,0.43333333333333335,60,0.019436333845648354,0.01428129986038086,0.0,0.5,1,external_only_trends_llm,113
10,1432,1432,1487,55,0.04233472923062864,0.028368587357320424,0.38461538461538464,0.41818181818181815,55,0.03649029076829718,0.024689085517175347,0.0,0.6181818181818182,1,external_only_trends_llm,113
1,892,892,952,60,0.04227349904158093,0.03262706963485008,0.5625,0.5333333333333333,60,0.030248710614972075,0.02204591599737176,0.0,0.48333333333333334,1,all_modalities,174
2,952,952,1012,60,0.05352431138967522,0.04420974103248154,0.4,0.4,60,0.027442079901143508,0.01907056521362552,0.0,0.45,1,all_modalities,174
3,1012,1012,1072,60,0.11087592803916461,0.09784584170264551,0.32558139534883723,0.5166666666666667,60,0.023731974328507113,0.018010539938849632,0.0,0.4666666666666667,1,all_modalities,174
4,1072,1072,1132,60,0.09720476442413441,0.08035314611199815,0.5641025641025641,0.43333333333333335,60,0.0291492238087015,0.02096095236011868,0.0,0.5833333333333334,1,all_modalities,174
5,1132,1132,1192,60,0.05624562832502025,0.04217295995314411,0.6031746031746031,0.5833333333333334,60,0.024190348486159426,0.01619110889006144,0.0,0.45,1,all_modalities,174
